date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:56	2626/2626	---M-Z	200	added ('OK')	text/html	etag:W/%2262dea883-a42%22	https://meuastral.com/	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/meuastral.com/index.html	(from )
10:46:56	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://meuastral.com/robots.txt		(from )
10:46:56	294/294	---M-Z	200	added ('OK')	application/json	etag:W/%2262dea883-126%22	https://meuastral.com/manifest.json	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/meuastral.com/manifest.json	(from https://meuastral.com/)
10:46:57	103614/103614	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2262dea883-194be%22	https://meuastral.com/favicon.ico	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/meuastral.com/favicon.ico	(from https://meuastral.com/)
10:46:57	77965/77965	---M-Z	200	added ('OK')	text/css	etag:W/%221308d-Mt48wWTpTdBMbiyZaNA1bwN1who%22	https://cdn.jsdelivr.net/npm/@tailwindcss/typography@0.2.x/dist/typography.min.css	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/cdn.jsdelivr.net/npm/@tailwindcss/typography@0.2.x/dist/typography.min.css	(from https://meuastral.com/)
10:46:57	305930/305930	---M-Z	200	added ('OK')	text/css	etag:W/%224ab0a-gVcuK31bTzNLzwnWqRA6J8PLvnU%22	https://cdn.jsdelivr.net/npm/daisyui@2.14.3/dist/full.css	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/cdn.jsdelivr.net/npm/daisyui@2.14.3/dist/full.css	(from https://meuastral.com/)
10:46:58	100782/100782	---M-Z	200	added ('OK')	text/css	etag:%22623a082a-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	(from https://meuastral.com/)
10:46:58	11088/11088	---M--	200	added ('OK')	image/png	etag:%2262dea883-2b50%22	https://meuastral.com/meuastral-marca.png	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/meuastral.com/meuastral-marca.png	(from https://meuastral.com/)
10:46:58	8428/8428	---M-Z	200	added ('OK')	text/css	etag:W/%2262dea883-20ec%22	https://meuastral.com/static/css/main.4496699e.chunk.css	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/meuastral.com/static/css/main.4496699e.chunk.css	(from https://meuastral.com/)
10:46:58	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e9874ff1d1fcdef2b30e8d039d5f52ce%22	https://connect.facebook.net/pt_BR/sdk.js	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/connect.facebook.net/pt_BR/sdk.js	(from https://meuastral.com/)
10:46:59	1534/1534	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262dea883-5fe%22	https://meuastral.com/static/js/runtime~main.1b922744.js	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/meuastral.com/static/js/runtime_main.1b922744.js	(from https://meuastral.com/)
10:47:00	16628/16628	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262dea883-40f4%22	https://meuastral.com/static/js/vendors~main.354e092f.chunk.js	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/meuastral.com/static/js/vendors_main.354e092f.chunk.js	(from https://meuastral.com/)
10:47:01	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/www.google-analytics.com/analytics.js	(from https://meuastral.com/)
10:47:01	80696/80696	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262dea883-13b38%22	https://meuastral.com/static/js/main.2fd69fe6.chunk.js	C:/Users/55199/Desktop/Clones/Meu%20Destino/public/Meu%20Destino/meuastral.com/static/js/main.2fd69fe6.chunk.js	(from https://meuastral.com/)
